run_id,a,r0,theta0,Fl,Fh
82.0,0.328571,0.8,1.24666,0.5,3.4925001
83.0,0.328571,0.8,1.2716,0.5,3.9965
84.0,0.328571,0.8,1.29653,0.5,3.1775
85.0,0.328571,0.8,1.32146,0.5,1.4450001
86.0,0.328571,0.8,1.3464,0.5,2.5114999
87.0,0.328571,0.8,1.37133,0.5,2.4935
88.0,0.328571,0.8,1.39626,0.5,2.507
89.0,0.328571,0.81,1.22173,0.5,3.1415
90.0,0.328571,0.81,1.24666,0.5,3.1865001
91.0,0.328571,0.81,1.2716,0.5,3.2539999
92.0,0.328571,0.81,1.29653,0.5,3.4565001
93.0,0.328571,0.81,1.32146,0.5,3.8164999
94.0,0.328571,0.81,1.3464,0.5,2.7049999
95.0,0.328571,0.81,1.37133,0.5,2.4349999
96.0,0.328571,0.81,1.39626,0.5,2.4215
97.0,0.328571,0.82,1.22173,0.5,3.0425
98.0,0.328571,0.82,1.24666,0.5,3.0739999
99.0,0.328571,0.82,1.2716,0.5,2.4395001
100.0,0.328571,0.82,1.29653,0.5,2.5610001
101.0,0.328571,0.82,1.32146,0.5,3.2135
102.0,0.328571,0.82,1.3464,0.5,3.2945001
103.0,0.328571,0.82,1.37133,0.5,3.434
104.0,0.328571,0.82,1.39626,0.5,1.967
105.0,0.328571,0.83,1.22173,0.5,3.0020001
106.0,0.328571,0.83,1.24666,0.5,3.0109999
107.0,0.328571,0.83,1.2716,0.5,3.0380001
108.0,0.328571,0.83,1.29653,0.5,3.0604999
109.0,0.328571,0.83,1.32146,0.5,3.0964999
110.0,0.328571,0.83,1.3464,0.5,3.1684999
111.0,0.328571,0.83,1.37133,0.5,3.2855
112.0,0.328571,0.83,1.39626,0.5,2.1965001
113.0,0.328571,0.84,1.22173,0.5,2.921
114.0,0.328571,0.84,1.24666,0.5,2.9435
115.0,0.328571,0.84,1.2716,0.5,2.8445001
116.0,0.328571,0.84,1.29653,0.5,2.984
117.0,0.328571,0.84,1.32146,0.5,2.9974999
118.0,0.328571,0.84,1.3464,0.5,3.02
119.0,0.328571,0.84,1.37133,0.5,3.0695
120.0,0.328571,0.84,1.39626,0.5,3.0650001
121.0,0.328571,0.85,1.22173,0.5,2.8715
122.0,0.328571,0.85,1.24666,0.5,2.8805001
123.0,0.328571,0.85,1.2716,0.5,2.921
124.0,0.328571,0.85,1.29653,0.5,2.9300001
125.0,0.328571,0.85,1.32146,0.5,2.9300001
126.0,0.328571,0.85,1.3464,0.5,2.948
127.0,0.328571,0.85,1.37133,0.5,2.9614999
128.0,0.328571,0.85,1.39626,0.5,2.993
129.0,0.357143,0.78,1.22173,0.5,3.8570001
130.0,0.357143,0.78,1.24666,0.5,2.6600001
131.0,0.357143,0.78,1.2716,0.5,3.0650001
132.0,0.357143,0.78,1.29653,0.5,3.056
133.0,0.357143,0.78,1.32146,0.5,3.0469999
134.0,0.357143,0.78,1.3464,0.5,3.0650001
135.0,0.357143,0.78,1.37133,0.5,3.128
136.0,0.357143,0.78,1.39626,0.5,3.1684999
137.0,0.357143,0.79,1.22173,0.5,3.6949999
138.0,0.357143,0.79,1.24666,0.5,4.0685
139.0,0.357143,0.79,1.2716,0.5,3.1819999
140.0,0.357143,0.79,1.29653,0.5,2.885
141.0,0.357143,0.79,1.32146,0.5,2.948
