" 3D Run ID","a","r0","theta0"
"241","0.385714","0.84","1.22173"
"242","0.385714","0.84","1.24666"
"243","0.385714","0.84","1.2716"
"244","0.385714","0.84","1.29653"
"245","0.385714","0.84","1.32146"
"246","0.385714","0.84","1.3464"
"247","0.385714","0.84","1.37133"
"248","0.385714","0.84","1.39626"
"249","0.385714","0.85","1.22173"
"250","0.385714","0.85","1.24666"
"251","0.385714","0.85","1.2716"
"252","0.385714","0.85","1.29653"
"253","0.385714","0.85","1.32146"
"254","0.385714","0.85","1.3464"
"255","0.385714","0.85","1.37133"
"256","0.385714","0.85","1.39626"
"257","0.414286","0.78","1.22173"
"258","0.414286","0.78","1.24666"
"259","0.414286","0.78","1.2716"
"260","0.414286","0.78","1.29653"
"261","0.414286","0.78","1.32146"
"262","0.414286","0.78","1.3464"
"263","0.414286","0.78","1.37133"
"264","0.414286","0.78","1.39626"
"265","0.414286","0.79","1.22173"
"266","0.414286","0.79","1.24666"
"267","0.414286","0.79","1.2716"
"268","0.414286","0.79","1.29653"
"269","0.414286","0.79","1.32146"
"270","0.414286","0.79","1.3464"
"271","0.414286","0.79","1.37133"
"272","0.414286","0.79","1.39626"
"273","0.414286","0.8","1.22173"
"274","0.414286","0.8","1.24666"
"275","0.414286","0.8","1.2716"
"276","0.414286","0.8","1.29653"
"277","0.414286","0.8","1.32146"
"278","0.414286","0.8","1.3464"
"279","0.414286","0.8","1.37133"
"280","0.414286","0.8","1.39626"
"281","0.414286","0.81","1.22173"
"282","0.414286","0.81","1.24666"
"283","0.414286","0.81","1.2716"
"284","0.414286","0.81","1.29653"
"285","0.414286","0.81","1.32146"
"286","0.414286","0.81","1.3464"
"287","0.414286","0.81","1.37133"
"288","0.414286","0.81","1.39626"
"289","0.414286","0.82","1.22173"
"290","0.414286","0.82","1.24666"
"291","0.414286","0.82","1.2716"
"292","0.414286","0.82","1.29653"
"293","0.414286","0.82","1.32146"
"294","0.414286","0.82","1.3464"
"295","0.414286","0.82","1.37133"
"296","0.414286","0.82","1.39626"
"297","0.414286","0.83","1.22173"
"298","0.414286","0.83","1.24666"
"0","","",""
